S.No,Sentence,Annotator 1,Annotator 2,IAA,Char_Length,Word_Count,Is_English,label
2375,"Well, considering how ambiguous and contradictory the Christian scriptures are, I guess this interpetation makes as much sense as any of the others.",Sarcastic,Sarcastic,Agree,148,23,True,Sarcastic
2376,"Your definition of ""Godly wisdom"" is agreeing with your political positions and your spurious theological justifications for them, so it's hardly surprising you don't encounter any liberals who you think have ""Godly wisdom""",Sarcastic,Sarcastic,Agree,223,33,True,Sarcastic
2377,"So now you're freely and willingly admitting that you'd take pleasure in inflicting pain and suffering on innocent people who have never done anything to you?
 
 Good God! No wonder you don't like guns and want to see everyone disarmed!",Sarcastic,Sarcastic,Agree,238,40,True,Sarcastic
2379,"Please, you're welcome to her. A real shame you couldn't have taken her 30 years ago before she did too much damage.",Sarcastic,Sarcastic,Agree,116,22,True,Sarcastic
2381,"Well either the Pottenger cat/pig/mouse thing is either the truth or they made the whole thing up. I think we are seeing a mirror of this experiment in society today...please notice how diseases are striking people at younger and younger ages....it's not going to get any better, either because people are not taught the reality about nutrition -- and that what they eat not only effects them, but their offspring as well.",Non-Sarcastic,Non-Sarcastic,Agree,422,72,True,Non-Sarcastic
2382,"So they had guns that could shoot down planes even before they had planes?
 Their primitive muskets were that powerful? I am not that easy to fool!",Sarcastic,Sarcastic,Agree,148,27,True,Sarcastic
2383,"So, it's a proven fact that children denied the act of abortion suffer negative effects? Hmmmmmm",Sarcastic,Sarcastic,Agree,96,16,True,Sarcastic
2384,".... i can make up one just as prophetic emoticonXAngel. ""The sky is black, the shadows powerful,God's domain judged by the unseen""Obviously this a prophetic for 26th dimensional superstring theory and how it governors the universe's physical properties in unforseen ways. Don't you see it? It's quite obvious! To the RATIONAL world, that is completely absurd, just like your analysis of how the scriptures work in your opninion. ",Sarcastic,Sarcastic,Agree,430,68,True,Sarcastic
2385,"I always thought that NPR was an acronym for National Propaganda Radio.
I tune in once in a while when my blood pressure is low. emoticonXRolleyes",Sarcastic,Sarcastic,Agree,147,26,True,Sarcastic
2386,I was right wasnt I? You do have buck teeth and play the banjo...look see if the Sesame street web site has a definition of zombie..what an arsehole lol,Sarcastic,Sarcastic,Agree,152,29,True,Sarcastic
2387,"oh yeah, and robert a. heinlein for his amazing sci-fi work; most notably starship troopers and puppet master",Non-Sarcastic,Non-Sarcastic,Agree,109,18,True,Non-Sarcastic
2388,"having been raised in texas as a child and teen, with many relatives still residing there, i'm surprised their educational system hasn't gone to the bible as its primary textbook. perhaps things have changed, but fundamentalist hypocrisy was at one time the law of the land in texas. maybe since texans are no longer served by oklahoma and louisiana bootleggers the fire and brimstone circuit has relaxed, but i'd find that difficult to believe as religion is a very effective control technique.",Sarcastic,Sarcastic,Agree,495,82,True,Sarcastic
2389,"Then thats as far as we can go on it, and thats fine. Not being a science worshiper myself, I simply dont automatically take this type of blanket statement as automatically true. What largely prompted this thread happened last Tuesday - 6:30 AM, and a six-figure weather forecaster scientist guy assured everyone watching him that a pretty nice day was ahead, largely cloudy yet with peeks of sun, with a slim chance of very spotty rain. 2 hours later, the beginning of widespread heavy rain, for three solid hours. Unusual of course, but if we have scientific blunders concerning a few miles, I can imagine we could have a few blunders concerning hundreds of thousands of light years. ",Non-Sarcastic,Non-Sarcastic,Agree,686,118,True,Non-Sarcastic
2390,you never played myst? damn!!! i must be really old ;),Sarcastic,Sarcastic,Agree,54,11,True,Sarcastic
2392,Beg pardon. I guess that after a re-read that did sound pretty pompous.,Non-Sarcastic,Non-Sarcastic,Agree,71,13,True,Non-Sarcastic
2395,"Oh, I see that Easyrider wants me to post some more. Anything for my old pal EZ!
",Sarcastic,Sarcastic,Agree,82,17,True,Sarcastic
2399,"Well as long as you ignore the evidence, why do you need proof. Blind faith works just fine.",Sarcastic,Sarcastic,Agree,92,18,True,Sarcastic
2400,"Because you still can't understand the concept that the militia had absolutely no connection with the private ownership of firearms. You just don't get that serving in the militia wasn't a requirement for a person to be armed. And you've chickened out at elaborating on the shortcomings of your own theory because you have no answers.
Cluck, cluck.",Sarcastic,Sarcastic,Agree,349,58,True,Sarcastic
2404,Well it came from somewhere and presumably changed as it went along.,Non-Sarcastic,Non-Sarcastic,Agree,68,12,True,Non-Sarcastic
2405,yeah but i don't hate gays because they are still people i just hate the sin and the lifestyle that they are in.  wow i have never seen an atheist who is against gay marriage. i am impressed.,Sarcastic,Sarcastic,Agree,191,38,True,Sarcastic
2407,ROFLMAO! Nice way of restating the 'inaccurate' statement basically the same way.,Sarcastic,Sarcastic,Agree,81,12,True,Sarcastic
2408,"Thats great, thanks for telling me how much of a vast knowledge you have in this subject. As for ""poking insults"", I was simply returning your ""insult"" to Duo. I saw alot of credible evidence in that ""claim"" if you will call it that also.
",Sarcastic,Sarcastic,Agree,240,45,True,Sarcastic
2409,Most of the time one should be able to tell the sex of the baby by about 20 weeks and very often even at sixteen. Second trimester starts at 12 weeks. You cant get an abortion after determining the sex because its illegal.Where are you getting your data?,Non-Sarcastic,Non-Sarcastic,Agree,254,48,True,Non-Sarcastic
2410,"Well right there, you used an oxymoron, ""Great"" and ""Evangelist"" got together about as well as Military Inteligence.   Secondly, as I stated before...you left too many other questions unanswered about the ""Preacher.""",Sarcastic,Sarcastic,Agree,216,32,True,Sarcastic
2412,"Careful, or a spiritually-inspired passage might just pop up and tweak your carnal conscience!",Sarcastic,Sarcastic,Agree,94,14,True,Sarcastic
2413,"You're a Bush-man, aren't you, gnojek? Come on, admit it. With that stance, you'll be in the White House before sunrise.
(You do realize that I was being sarcastic - right?) emoticonXRolleyes",Sarcastic,Sarcastic,Agree,192,32,True,Sarcastic
2416,"Oh yeah right, like sociopaths who are bent on killing and slaughtering everyone around them, can be fixed with something as stupid as school counseling.",Sarcastic,Sarcastic,Agree,153,25,True,Sarcastic
2417,"In other words, Archie cannot show ANY money raised by ""pro-gay churches"", so he's going to ignore that...
emoticonXRolleyes
",Sarcastic,Sarcastic,Agree,127,19,True,Sarcastic
2418,"''they'll come up with hundreds, sometimes even thousands of products relating to homosexuality [and promotion of] the agenda of the homosexual community,' sharp told christian publication agape.' i would be fascintaed, and probably highly amused, to see what products they think are promoting the homosexual agenda. it would probably be a wonderful peek inside their rather twisted little minds. i mean, what are they talking about? astroglide? silk boxers? potted ferns? the mind boggles at what they might be afraid of here. oh noes! my son just saw a teletubbies tape on that rack, now he's going to catch gayness!!",Sarcastic,Sarcastic,Agree,619,100,True,Sarcastic
2419,Bad comparisons. A fair comparison would be comparing the total number of defensive gun uses to the total number of gun crimes (not just limiting it to gun homicides).,Non-Sarcastic,Non-Sarcastic,Agree,167,29,True,Non-Sarcastic
2422,"So given that there are cases where both dies... we just have to give up the mother's right to live over a fetus (which will die)? What if the mother isn't physically ready to have a baby. In the case of a young female (I'm talking age of 9 and younger, c",Non-Sarcastic,Non-Sarcastic,Agree,255,52,True,Non-Sarcastic
2424,"to be replaced with a more or less clone...why do people beg so dearly to be ruled...
O whoopie our old slave master will be replaced with another, I'm beside myself!",Sarcastic,Sarcastic,Agree,167,31,True,Sarcastic
2429,"Just as you are uninformed on the other subject?
 I honestly believe that is the only reason you don't at least partially accept evolution.",Non-Sarcastic,Non-Sarcastic,Agree,140,24,True,Non-Sarcastic
2432,"Cannot be helped. You make it far too easy. But do not think of yourself as a loser, think of yourself as a student with significant learning deficets.",Sarcastic,Sarcastic,Agree,151,28,True,Sarcastic
2435,"As you both also ignore the fact that it was TQ who first posted in the largest red bolded font possible. But hey, since when do you children care about facts or truth. emoticonXRolleyes
",Sarcastic,Sarcastic,Agree,188,34,True,Sarcastic
2436,"Just because we interpret the available evidence differently, for you to assume from that, that we believers know nothing about the universe we inhabit is arrogance to the max.",Non-Sarcastic,Non-Sarcastic,Agree,176,29,True,Non-Sarcastic
2440,"Oh you do love to do the psychological technique known as 'transference' don't you...or is it 'projection'??? 
You are so obsessed with gay sex, I would not be surprised if you and Ted Haggard have a lot to talk about.",Sarcastic,Sarcastic,Agree,219,40,True,Sarcastic
2442,"wow, you're only 17? i definately had you in mid 30's maybe early 40's.",Sarcastic,Sarcastic,Agree,71,14,True,Sarcastic
2443,"It looks like just Mucusaur, you and me, along with an entire thread of bots! (I'm not too sure about Mucusaur, to be honest!) ;)",Sarcastic,Sarcastic,Agree,129,25,True,Sarcastic
2445,how? which does not change the fact that government theft is not.,Non-Sarcastic,Non-Sarcastic,Agree,65,12,True,Non-Sarcastic
2446,"Although I'm not keen on them describing things as living fossils (the term is misleading) the possibilities and implications of this are fascinating. I'd be interested to see the paper if anyone has a PDF. It would seem to suggest that the origins of this particular molecule go back to the Ordovician at least, prior to the reptile/mammal split. Anyway, thought people might be interested :)",Non-Sarcastic,Non-Sarcastic,Agree,393,66,True,Non-Sarcastic
2447,And what would that prove? It would certainly show that an animal adapted to survival above the Arctic circle was not adapted to the Arizona desert. Maybe it would indicate that the environmental conditions necessary for the change aren't present in Arizona. How is that relevant to evolutionary theory?,Non-Sarcastic,Non-Sarcastic,Agree,303,49,True,Non-Sarcastic
2448,"I did not say that violent crime ""rarely"" occurs, merely that the risk of being a victim of such is lower relative to other risks. I am genuinely curious if you care as much about protecting your heart as you care about protecting yourself from criminals.",Non-Sarcastic,Non-Sarcastic,Agree,255,46,True,Non-Sarcastic
2450,"I could have labeled my post ""TRAP"" and you wouldn't notice. Tell me, are these two contradictory:
",Sarcastic,Sarcastic,Agree,100,17,True,Sarcastic
2451,"what a shocker. let me paraphrase: anyone: not following you aa, can you support or clarify what you're saying here? aa: nope!",Sarcastic,Sarcastic,Agree,126,22,True,Sarcastic
2452,From your own link it is very clear the NRA DID NOT say that or publish that. Your clearly very wrong.,Non-Sarcastic,Non-Sarcastic,Agree,102,21,True,Non-Sarcastic
2453,"Simone is quite right...women will no longer breed to order according to the dictats of outdated religion. British Muslim women will follow at some point (many already are). There are a few hothead extremists who sit on London street corners with placards stating that ""UK will be Islamic"", ""Sharia Law for UK"" etc. etc. But those nutters are ignored along with all the other (non-religious) nutters currently walking the streets of London. (For the record, Muslims make up 2.1 per cent of the total United Kingdom population. They are hardly ""taking over"" ).""muslims are taking over the world"" is a poor excuse of a reason to be anti-abortion and shows desperation, IMO!",Non-Sarcastic,Non-Sarcastic,Agree,671,112,True,Non-Sarcastic
2454,and you shouldn't forget the thousands of gays incinerated at this death camp!!!,Non-Sarcastic,Non-Sarcastic,Agree,80,13,True,Non-Sarcastic
2455,"Wow BIOLOGISTS have been working on strteches of DNA of previously unknown function and found what they went looking for - function. That sure knocks genetics and evolution off its feet. Yep no question about it at all. Darwin will be trashed when junk DNA is explained, all his predictions about junk DNA being functionless will be falsified. Oh, oh wait a second. Darwins theory and the NDS make zero predictions about ""junk"" DNA! Guess that if one has nothing to falsify then falsification is pretty unlikely. ",Sarcastic,Sarcastic,Agree,513,87,True,Sarcastic
2458,This is absurdity. I suppose then that medicine should wreak my body. How about viruses? Am I destroyed by them?,Sarcastic,Sarcastic,Agree,112,20,True,Sarcastic
2459,"Yes it is, police aren't obligated by the US Constitution to protect individual citizens. If they were, lawsuits could be filed every time a crime is committed, and the police would go bankrupt really quick.",Non-Sarcastic,Non-Sarcastic,Agree,207,35,True,Non-Sarcastic
2483,"Oh come on. If those words were hateful, then you need to 'investigate' probably millions of people, because those are pretty normal sentiments. Canada must have a LOT of tax dollars. I don't entirely agree with what he said either, but I think it's downright scary that your govt. investigates something like that.",Sarcastic,Sarcastic,Agree,315,53,True,Sarcastic
2484,"So much for choice. Obama's little socialist minions want to use the tax system to collect healthcare premiums if you don't comply. After all, getting employers to collect income taxes before you even see your money has worked for these leeches in the pas",Sarcastic,Sarcastic,Agree,255,44,True,Sarcastic
2486,"you're kidding, right? i mean, you really don't know who i am? what am i missing? is this some alternate reality? where's the camera :)",Sarcastic,Sarcastic,Agree,135,25,True,Sarcastic
2487,"Nope. No souces or links @ #98 either.
Do you seriously think that merely repeating a statement over and over makes it more credible?",Non-Sarcastic,Non-Sarcastic,Agree,134,24,True,Non-Sarcastic
2488,"I believe science can indeed tell us when it cannot be considered a ""person"" as we define a person legally. No mental existence for the simple reason that the hardware has yet to form. Protecting ""potential"" persons is beyond the scope of our Constitution IMO.",Non-Sarcastic,Non-Sarcastic,Agree,260,45,True,Non-Sarcastic
2489,"the argument has nothing to do with whether the bible is true or not, and everything to do with how certain concepts and interpretations are deduced from reading a piece of literature. i'm not arguing that i believe in a rapture, but rather that there is biblical support for a rapture event. i hope you see the difference",Non-Sarcastic,Non-Sarcastic,Agree,322,58,True,Non-Sarcastic
2490,"And who makes the decision, Rich? That's the issue, as I see it. I don't believe the government has any business in a woman's body.",Non-Sarcastic,Non-Sarcastic,Agree,131,25,True,Non-Sarcastic
2491,"Oh, dear. I seem to have lost you again. 'Peer' just means a group of people holding the same biases.",Sarcastic,Sarcastic,Agree,101,20,True,Sarcastic
2494,It stops us from saying we ara a rational people. I don't support any laws that would allow a father not to have a say so about his child being aborted. Are there any?? If it were a life or death thing for the mother no question.As I stated I don't like the idea but making it illegal would simply put more unwanted kids in state homes. Lets take care of the living first!,Non-Sarcastic,Non-Sarcastic,Agree,372,74,True,Non-Sarcastic
2495,"oh hun i am sorry, i'll get right on that :) but yes i retouched her scars, she's a cutter for sure...",Sarcastic,Sarcastic,Agree,102,22,True,Sarcastic
2496,"i love how the athesists respond, they claim to not debate thesists, but they follow debate religion like it's their religion. we (this writer) has never professed not to debate theists. this is a debating society. there are theists within it. therefore no illusion can be made that atheists do not herein debate theists.",Sarcastic,Sarcastic,Agree,321,54,True,Sarcastic
2498,"Nice raising the bar. Fallacies are a creationist's best friend. You claimed:""have never shown to add any new structure or even a new part to any existing structure.""Now you are changing your argument away from structure as new proteins and especially enzymes (which are proteins) don't count.",Sarcastic,Sarcastic,Agree,293,47,True,Sarcastic
2499,"Well, I'm not sure if he consumed alcohol or not, but his doctor gave him daily ""vitamin"" shots that contained vitamins as well as amphetamines and maybe other drugs that doctors at the time thought were mentally beneficial.And I've never heard of him being a vegetarian. I saw some show that talked about his voracious apetite, but I don't think they mentioned his being a veggie.",Non-Sarcastic,Non-Sarcastic,Agree,381,66,True,Non-Sarcastic
2500,"Crammed with them, sure, why not? It's easy, only a few million light years. The scientific method is used in weather forecasting too.",Sarcastic,Sarcastic,Agree,134,23,True,Sarcastic
2501,"Even if it was murder, do you really expect me to side with the party that broke into Martin's house and robbed him?",Non-Sarcastic,Non-Sarcastic,Agree,116,23,True,Non-Sarcastic
2502,"Apparently Archie thinks this is golf, where the lowest score wins. Who wants to clue him in?",Sarcastic,Sarcastic,Agree,93,17,True,Sarcastic
2503,Who's God ? Vishnu ? Buddha ? The Great Spirit ? Allah ? Or God ?Waiting............,Sarcastic,Sarcastic,Agree,84,16,True,Sarcastic
2504,"Of course not, but I fail to see how atheists are using science as its god, can you please explain that to me directly? Evolution doesn't refute god at all. In fact with evolution, intelligent design is entirely possible. But that still doesn't make it science.",Non-Sarcastic,Non-Sarcastic,Agree,261,46,True,Non-Sarcastic
2505,"The anti-abortionists claim a load of **** on many issues. I don't listen to them. To put the ""life"" of an unfertilized egg above that of a person is grotesquely sick IMO. I support any such stem cell research wholeheartedly.",Non-Sarcastic,Non-Sarcastic,Agree,225,40,True,Non-Sarcastic
2506,"Well, that's generally true of any process that uses energy. Some is wasted.",Non-Sarcastic,Non-Sarcastic,Agree,76,13,True,Non-Sarcastic
2507,only one of you i guess this is when the score card will come in handy,Sarcastic,Sarcastic,Agree,70,16,True,Sarcastic
2508,You mean other than the fact that Mr. Pocketwatch and Mrs. Pocketwatch don't meet up for a night of whoopee and end up with little baby pocketwatches some time later? How about: I know that humans manufacture pocketwatches.,Sarcastic,Sarcastic,Agree,223,38,True,Sarcastic
2509,"you are aware that according to the koran such actions have the death penalty? you may disagree with the principle of that or carrying out the directives of some sacred text. frankly i couldn't give a rats arse about your faith or theirs. if the accusation is accurate someone acted recklessly which cost 8 lives and that is what matters, not someone's ideas about the basis of the universe.",Non-Sarcastic,Non-Sarcastic,Agree,391,69,True,Non-Sarcastic
2510,You may be correct. My point still stands. Simone's argument is wholly based on stereotype.,Non-Sarcastic,Non-Sarcastic,Agree,91,15,True,Non-Sarcastic
2512,"Confucius, that is one of the biggest puddles of sentimental puppy dribble that has ever been manufactured.",Sarcastic,Sarcastic,Agree,107,17,True,Sarcastic
2513,"It's called a dictionary. They're really nice, but of course first you need to open one up and actually read what it says emoticonXGood 
Clickity-click.
",Sarcastic,Sarcastic,Agree,155,25,True,Sarcastic
2515,"That's what I thought. You can't back up your pathetic lies. 
Get thee behind me, 'O Spawn of Beelzebub.",Sarcastic,Sarcastic,Agree,105,19,True,Sarcastic
2516,"why convince me of something i already know? however, the homosexual community does have more of a problem..just like africa has more of a problem then the us.",Non-Sarcastic,Non-Sarcastic,Agree,159,28,True,Non-Sarcastic
2517,"Those damn black people! All wanting respect and equal opportunity! They should just be happy with what they got!Why should they work for the same pay? They are just selfish! [/end sarcasm]
This argument is tired *yawn*",Sarcastic,Sarcastic,Agree,220,37,True,Sarcastic
2518,"Just so you know Peach, the 167 death row inmates are now serving life in prison. At least that one who's not guilty might now have a chance to be free.",Non-Sarcastic,Non-Sarcastic,Agree,152,31,True,Non-Sarcastic
2521,"And compare that to an equivalent sized human - if you compared the skill to a 10-13 year old boy, the erectus skeleton's cranial capacity would be significantly smaller. Doesn't contradict in the slightest other than the bizarre positions you decide other people should hold.",Non-Sarcastic,Non-Sarcastic,Agree,276,45,True,Non-Sarcastic
2522,"The 7 day creation I am referring to, not merely the possibility of divine creation through the Big bang etc",Non-Sarcastic,Non-Sarcastic,Agree,108,20,True,Non-Sarcastic
2523,"Apparently, all them dinosaurs were just too dumb to climb to higher ground or swim (despite the fact that animals are among the first to do so in disasters - example would be the tsunami in Christmas 2004) All of this also avoids the flying reptiles such as the Pteranodons.   Also, apparently humans are unique in that they are the only ones whose corpses bload and float to the water's surface.   What garbage will they come up with next?",Sarcastic,Sarcastic,Agree,441,79,True,Sarcastic
2524,"The whole religion is FAKE. Not just some shroud or a tortilla with the face of Mary on it. I thought the bible taught us not to worship idols anyways?
And here comes EZ's idol gay sex zinger in 3...2..1... *snore*",Sarcastic,Sarcastic,Agree,215,41,True,Sarcastic
2525,Well then it sounds like you don't even know what a SM is seeing as the 3rd one is the main one that people like you bring up when debating this isse.,Non-Sarcastic,Non-Sarcastic,Agree,150,32,True,Non-Sarcastic
2526,"Congrats, may your marriage continue to be a happy one.If I may deviate from the original thread a bit I have a couple of questions that pertain to your specific situation. If they are too personnal please feel free to say so.Do you consider yourself to be any particular branch of Christian? ie. Lutheran, Catholic, Apiscopal (sp), etc.How do you reconcile your Christianity with the portions of the bible that specificly deal with homosexual activity as a sin? (If this question sounds rude please excuse me, I couldn't think of a better wording.)Thanks",Non-Sarcastic,Non-Sarcastic,Agree,555,93,True,Non-Sarcastic
2527,"So, you see the UN and other extra-British authorities as being better than the UK's? The sun sure does set on the British Empire nowadays. emoticonXWow",Sarcastic,Sarcastic,Agree,152,26,True,Sarcastic
2528,"Thats rich. No evidence huh?
Here: Global warming, photography, pictures, photos, climate change, impact, science, weather, arctic, antarctica, climate zones, glacier, arctic warming, antarctica warming, documentation, effects, effects of climate change, paleoclimate, mountain glacier 
the country of Bangladesh is losing its land mass to the encroaching ocean and water is becoming very scarce there. Now, Ill have your rebuttal to that evidence. Epoch; (chuckle); like millennium??
",Sarcastic,Sarcastic,Agree,488,66,True,Sarcastic
2529,And one of these assumption has not been proven incorrect.,Non-Sarcastic,Non-Sarcastic,Agree,58,10,True,Non-Sarcastic
2530,"And it is. The ToE is a theory, however. It explains evolution, which has been observed. Do not attempt to deny that.",Non-Sarcastic,Non-Sarcastic,Agree,117,22,True,Non-Sarcastic
2531,"I've never heard anyone say this other than you guys.
 
 Btw it's a town of 2000 people.",Non-Sarcastic,Non-Sarcastic,Agree,90,17,True,Non-Sarcastic
2533,"Actually, it's not. Mutations are random. Selection is differential reproductive success.",Non-Sarcastic,Non-Sarcastic,Agree,89,11,True,Non-Sarcastic
2534,i love when differing from someones opinion is 'weak'. such a convincing argument.,Sarcastic,Sarcastic,Agree,82,13,True,Sarcastic
2536,I'm not against concealed carry in principle but open carry seems silly to me. I smell posers.,Non-Sarcastic,Non-Sarcastic,Agree,94,17,True,Non-Sarcastic
2537,"And for what it's worth, plants have clearly won it, insofar as their terrestrial biomass has us animals beat by at least ten to one. And the ""competition"" between ""plants"" (in general) and humans (literally specifically) is even more lopsided -- vastly so, in fact.
Ah, such fun we can have with this notion of ""superiority!""...",Sarcastic,Sarcastic,Agree,330,56,True,Sarcastic
2539,"Oh, I think you take delight in spelling it out in excruciating detail. Otherwise, you'd reply on point.
",Sarcastic,Sarcastic,Agree,106,18,True,Sarcastic
2540,"Funny, I thought Heribert Nilsson was a botanist. Don't let little details like that get in your way though.",Sarcastic,Sarcastic,Agree,108,19,True,Sarcastic
2541,I hardly see why you feel called upon to explain how a hypthetical entity that does not in fact exist requires an explanation at all! There is no evidence of any sprititual entity or spiritual component to any physical entity.,Non-Sarcastic,Non-Sarcastic,Agree,226,40,True,Non-Sarcastic
2542,"i love it when straight, christian folk who disapprove of gays seem to know so much about what it is to be gay - how it feels, how they became that way, the nature of their relationships and whether or not its something they can control. hey archangel - if you ever need brain surgery i know a fantastic auto mechanic you can talk to. emoticonxrolleyes",Sarcastic,Sarcastic,Agree,352,66,True,Sarcastic
2543,"No. That's not what I said. I said that natural selection is differential reproductive success. I said that those organisms that possessed advantageous characteristics would tend to reach reproductive age more frequently and therefore they will tend to produce more offspring, while those with disadvantageous characteristics will tend to produce fewer offspring. As a result, the heritable characteristics of the population will change over time.",Non-Sarcastic,Non-Sarcastic,Agree,447,65,True,Non-Sarcastic
2544,I guess it's okay to lie for Jesus just so long as He ain't intently watching.,Sarcastic,Sarcastic,Agree,78,16,True,Sarcastic
2545,"I heard that as well. That civil rights activist was looney tunes. ""You'd steal a TV too if it meant bartering for formula so your baby could eat."" 
Puhleeeeze...... emoticonXRolleyes 
Gimme a break.",Sarcastic,Sarcastic,Agree,201,33,True,Sarcastic
2547,"of course it crossed my mind, but logic isn't allowed; this is religion. jesus isn't showing up or walking away from their bread munching wine drinking rituals. i am supposed to be surprised that jesus supposedly said just one more thing which makes no sense what so ever? the early church wasn't called catholic because there were no other protestants running around to differentiate between. if imagination alone could generate heaven, you would be right. i have no reason to believe heaven exists. which are based on the beliefs of the early church, which you have already admitted existed during jesus's life time.",Sarcastic,Sarcastic,Agree,618,103,True,Sarcastic
2548,"Okay, so if we only need 10 laws then they must be, without any doubt, the 10 most important rules possible that would serve mankind throughout history. Not coveting your neighbor's oxen made the list? Why is not creating any graven images more important than not enslaving people? That didn't even make the list. If those 10 things were all that God intended to impart on mankind I have to question his mental competance.",Sarcastic,Sarcastic,Agree,422,74,True,Sarcastic
2551,"And how would Bush look if his own people hated him so much that they revolted? That would be very bad publicity, and quite an embarrassment that I wouldn't want as a country leader.",Non-Sarcastic,Non-Sarcastic,Agree,182,34,True,Non-Sarcastic
2553,"So the huge amount of men and material that the US contributed to the war was just not necessary. Thats your argument?
Well that makes perfect sense.
What's a BBS?",Sarcastic,Sarcastic,Agree,165,30,True,Sarcastic
2554,"Oh, I get it.
That's what permitted Governor Gidget to say that Senator Obama ""palled around with terrorists.""",Sarcastic,Sarcastic,Agree,111,18,True,Sarcastic
2555,"Oh, so cranky, Dittoboy! Maybe you need some zanax too. Or pray some more to your pagan deities.
Little hint: Listening to too much Rush Limbaugh will give you ulcers - all that sustained outrage and all. Plus the morally superior preening... not healthy.
emoticonXAngel",Sarcastic,Sarcastic,Agree,272,45,True,Sarcastic
2556,Well its possible I suppose that GOD created the apple and endowed it with low levels of cyanide for the specific purpose of punishing man should he consume too many. Perhaps at the time the apple being referenced was a special one much like the one in Snow White.,Sarcastic,Sarcastic,Agree,264,49,True,Sarcastic
2557,"We need to have far better prenatal and obstetrical care for all women in the world. All truly caring human beings would endorse such care for women, as well as access to contraceptive education and access to reliable contraception to prevent such horrible consequences from pregnancy.",Non-Sarcastic,Non-Sarcastic,Agree,285,46,True,Non-Sarcastic
2558,"Because the purpose of the US Bill of Rights is to grant or guarantee rights, not to prohibit or curtail personal freedoms.",Non-Sarcastic,Non-Sarcastic,Agree,123,22,True,Non-Sarcastic
2560,"Ok...many many people have been killed in Africa because of the policies of the countries in the EU, South America, Asia, and so on....this hypocrisy annoys me.",Non-Sarcastic,Non-Sarcastic,Agree,160,27,True,Non-Sarcastic
2562,"really? wow! my parents did the same thing! we had a water-cooler bottle that my dad put change into for years, and when we were little kids we went to cash it in, all of us helping to roll the hundreds of pounds of coins, and it ended up being worth over $900! ever since then, i've been a coin fanatic. people are so quick to throw away change. my friends know that i'll always take a nickel or a few pennies if they don't want to carry them around.",Non-Sarcastic,Non-Sarcastic,Agree,451,90,True,Non-Sarcastic
2563,wow. okay. photons apparently do not create light? well then i guess i have penetrated the core of your religion.,Sarcastic,Sarcastic,Agree,113,20,True,Sarcastic
2565,oh yeah? tell that to the next person you see running down the street wielding a knife. ;),Sarcastic,Sarcastic,Agree,90,18,True,Sarcastic
2566,"You know that under most public healthcare systems you can still buy private care if you really want to, don't you?As for OldSarge's claim of bean pushers deciding what care you get, isn't another name for them ""claims adjustors""? When I go to see a doctor he's the one who decides my treatment, not anyone else. He doesn't have to call anyone to check the funding is there, if it's covered for anyone, it's covered for me as well.",Non-Sarcastic,Non-Sarcastic,Agree,431,79,True,Non-Sarcastic
2567,"gee, i wonder why the liberal left is so quiet? i remember when bush's dwi from decades previously came out, and you couldn't shut the hypocrites up!  it's hilarious.",Sarcastic,Sarcastic,Agree,166,29,True,Sarcastic
2570,The Scandinavians always have been a multi-cultural society as the uncouth Vikings were so good at stealing culture from us Brits ;),Sarcastic,Sarcastic,Agree,132,22,True,Sarcastic
2571,"How's that coming along, by the way? Because IIRC Jesus said he'd be returning before the generation that saw him died out. And then every century afterwards, his return has been ""just around the corner"".emoticonXRolleyes",Sarcastic,Sarcastic,Agree,221,35,True,Sarcastic
2572,"Contraceptives (for example a condom/ the pill) aren't going to last a month effectively. Then there's the fact that contraceptives, given the above data, can still be 99% effective, as it doesn't mention how many pregnancies they've prevented.   What does the writer make of this though? ""According to this, condoms have a high failure rate for pregnancy.""",Non-Sarcastic,Non-Sarcastic,Agree,357,57,True,Non-Sarcastic
2575,i'm not surprised. that's a typical response when someone calls your bluff. waxy,Sarcastic,Sarcastic,Agree,80,13,True,Sarcastic
2576,"you mean preponderance of nothing. there is no preponderance of evidence, especially physical evidenc, to support the existance of any god.  guess what? historians can't replicate historic events and personalities than scientists can either.",Non-Sarcastic,Non-Sarcastic,Agree,241,34,True,Non-Sarcastic
2577,"Is North Korea a bastion of peace and good-living? Nope. Is it religious? Nope. Therefore obstacles to 'peace' don't necessarily have to be tied in with religiosity.
Hope that's spelt out enough for you. Try to keep up.",Sarcastic,Sarcastic,Agree,220,38,True,Sarcastic
2579,"Yeah, the lesbians. emoticonXRolleyes It would also mean the end of the human race. emoticonXGood",Sarcastic,Sarcastic,Agree,97,15,True,Sarcastic
2580,"i'm shocked! how could hunter mislead me so? emoticonxrolleyes given his previous output, i have to confess that i'm not at all surprised that this was a garbage in, garbage out moment. i feel slightly embarrassed at not stopping to consider the preposterous nature of a 14% figure though emoticonxembarrassed",Sarcastic,Sarcastic,Agree,309,50,True,Sarcastic
2583,I think you just made the point that they're people after a certain degree of development takes place.,Non-Sarcastic,Non-Sarcastic,Agree,102,18,True,Non-Sarcastic
2584,"But you need proof to back up a explantion. If you didn't, all you'd have a creationism. Explanations without any support.",Non-Sarcastic,Non-Sarcastic,Agree,122,21,True,Non-Sarcastic
